ticker,start_date,end_date,observations,mean_monthly_return,annualized_return,annualized_volatility,min_monthly_return,max_monthly_return
ALLN,2000-03-31,2026-04-30,313,0.85,9.76,13.48,-13.06,22.09
CHAM,2020-06-30,2026-04-30,70,0.66,6.99,14.89,-10.53,11.87
EPIC,2022-05-31,2026-04-30,47,1.22,15.05,10.45,-7.35,5.15
HIAG,2014-05-30,2026-04-30,143,0.96,10.72,16.46,-13.43,17.99
IREN,2016-06-30,2026-04-30,118,1.29,15.84,12.24,-9.41,10.89
ISN,2000-01-31,2026-04-30,315,0.85,9.72,13.23,-21.1,20.39
MOBN,2005-06-30,2026-04-30,250,0.89,10.03,14.79,-16.38,23.51
PSPN,2000-03-31,2026-04-30,313,0.99,11.1,16.17,-17.64,28.19
SPSN,2000-01-31,2026-04-30,312,0.85,9.4,15.51,-14.56,26.63
ZUGEST,2012-07-31,2026-03-31,161,0.79,8.72,15.13,-13.09,21.42
ZUGN,2012-07-31,2026-04-30,165,0.76,8.49,13.4,-14.33,19.66
