year,n_firms,hhi,top_3_share,ALLN,ISN,PSPN,SPSN,MOBN,ZUGEST,ZUGN,HIAG,IREN,CHAM,EPIC
2000,4,0.256,81.1,18.9,27.4,28.6,25.1,NA,NA,NA,NA,NA,NA,NA
2001,4,0.269,84.4,15.6,27,34.8,22.6,NA,NA,NA,NA,NA,NA,NA
2002,4,0.275,84.6,15.4,19.7,35.6,29.2,NA,NA,NA,NA,NA,NA,NA
2003,4,0.286,87.7,22.2,12.3,38.6,27,NA,NA,NA,NA,NA,NA,NA
2004,4,0.332,90.6,18.7,9.4,48.2,23.8,NA,NA,NA,NA,NA,NA,NA
2005,5,0.281,84.3,17.8,7.9,42.1,24.4,7.7,NA,NA,NA,NA,NA,NA
2006,5,0.277,83,16.9,8.2,42,24.1,8.8,NA,NA,NA,NA,NA,NA
2007,5,0.251,79.5,20.9,9.3,37.8,20.8,11.1,NA,NA,NA,NA,NA,NA
2008,5,0.26,80.5,19.6,9.6,39.8,21,9.9,NA,NA,NA,NA,NA,NA
2009,5,0.265,82.7,15.9,7.1,30.8,36,10.2,NA,NA,NA,NA,NA,NA
2010,5,0.269,84.7,17.4,5.9,32.1,35.2,9.4,NA,NA,NA,NA,NA,NA
2011,5,0.262,82.6,16.6,6,32,34.1,11.4,NA,NA,NA,NA,NA,NA
2012,7,0.227,76.8,16,4.8,28.2,32.6,9.7,4.4,4.4,NA,NA,NA,NA
2013,7,0.224,75.9,15.6,5.6,27.4,33,9.1,4.7,4.7,NA,NA,NA,NA
2014,8,0.207,73.1,15.2,4.9,27.3,30.6,8.6,4.4,4.4,4.6,NA,NA,NA
2015,8,0.214,72.7,13.3,5,25.3,34.1,8.6,4.6,4.6,4.6,NA,NA,NA
2016,9,0.192,68.1,13.2,5.5,22.2,32.7,8.7,4.5,4.5,4.6,4,NA,NA
2017,9,0.192,68.1,13.5,5,21.7,32.9,8.3,4.8,4.8,5,4.1,NA,NA
2018,9,0.186,66.8,12.6,5,23,31.3,8,5.6,5.6,4.8,4.1,NA,NA
2019,9,0.2,69.3,12,4.2,24,33.3,7.5,5.8,5.8,3.4,4.1,NA,NA
2020,10,0.181,67.4,14.3,5.2,23.9,29.2,8.3,4.6,4.6,4.1,5.2,0.8,NA
2021,10,0.179,66.8,14.6,5,22.7,29.5,8.7,4.4,4.4,4.2,5.8,0.7,NA
2022,11,0.172,64.1,11.7,5.4,23.4,28.9,8.1,4.2,4.2,3.9,6.1,0.9,3.1
2023,11,0.183,66,11.1,5.2,24.1,30.8,8.5,3.7,3.7,3.6,5.6,0.8,3
2024,11,0.177,64.7,10.9,4.8,23.5,30.3,8.4,4.1,4.1,3.4,5.7,1.4,3.3
2025,11,0.173,62.9,10.7,5,20.9,31.3,8.6,3.6,3.6,3.8,5.9,3.5,3.1
2026,11,0.176,63.3,10.4,4.7,21,31.9,8.2,3.6,3.6,4.1,6,3.7,2.9
