property_id,ticker,company,property_type,report_date,location,address,report_property,raw_line,ownership_status,year_acquired,year_construction,property_text,floor_space_m2,apartments_1_1_5,apartments_2_2_5,apartments_3_3_5,apartments_4_4_5,apartments_5plus,total_apartments,other_uses_m2,target_rental_income_chf_m,vacancy_rate_pct,discount_cap_rate,site_area_m2,office_pct,retail_pct,residential_pct,other_pct,city,simplified_address,simplified_full_address,latitude,longitude,second_pass_address
ALLN_R_001,ALLN,Allreal Holding AG,Residential,2025-12-31,Zurich,Grünhof-Areal,"Zurich, Grünhof-Areal",Zurich Grünhof-Areal5 SO 2002 1925 2019–2021 TR 7 870 yes Minergie7 11 555 6 36 52 36 3 133 2 761 6.0 1.1 3.24/2.22,SO,2002,1925,Zurich Grünhof-Areal5,11555,6,36,52,36,3,133,2761,6,1.1,3.24/2.22,7870,NA,NA,NA,NA,Zurich,Grünhof-Areal,"Grünhof-Areal, Zurich, Switzerland",47.3733504,8.5242404,"Ankerstrasse 23, Zurich, Switzerland"
ALLN_R_002,ALLN,Allreal Holding AG,Residential,2025-12-31,Zurich,Hardturmstrasse ,"Zurich, Hardturmstrasse ",Zurich Hardturmstrasse 5 LO 2004 2014 2 651 no Minergie 6 095 – 17 27 6 1 51 14 2.8 1.9 3.22/2.20,LO,2004,2014,Zurich Hardturmstrasse 5,6095,NA,17,27,6,1,51,14,2.8,1.9,3.22/2.20,2651,NA,NA,NA,NA,Zurich,Hardturmstrasse,"Hardturmstrasse, Zurich, Switzerland",47.3909845,8.5213936,NA
ALLN_R_003,ALLN,Allreal Holding AG,Residential,2025-12-31,Zurich,Heerenwiesen 23–41 / Winterthurerstrasse 563 / Schürgistrasse 18/20,"Zurich, Heerenwiesen 23–41 / Winterthurerstrasse 563 / Schürgistrasse 18/20",Zurich Schürgistrasse 18/20 SO 2003 1996 11 616 no 7 782 8 12 25 29 6 80 2 846 2.6 0.9 3.53/2.50,SO,2003,1996,Zurich Schürgistrasse 18/20,7782,8,12,25,29,6,80,2846,2.6,0.9,3.53/2.50,11616,NA,NA,NA,NA,Zurich,Heerenwiesen 23–41,"Heerenwiesen 23–41, Zurich, Switzerland",47.4056759,8.5740886,NA
ALLN_R_004,ALLN,Allreal Holding AG,Residential,2025-12-31,Zurich,Josefstrasse 137,"Zurich, Josefstrasse 137",Zurich Josefstrasse 137 SO 1999 1984 903 no 2 763 4 36 – – – 40 212 0.9 2.4 3.27/2.25,SO,1999,1984,Zurich Josefstrasse 137,2763,4,36,NA,NA,NA,40,212,0.9,2.4,3.27/2.25,903,NA,NA,NA,NA,Zurich,Josefstrasse 137,"Josefstrasse 137, Zurich, Switzerland",47.3841986,8.5282505,NA
ALLN_R_005,ALLN,Allreal Holding AG,Residential,2025-12-31,Zurich,Neunbrunnenstrasse 47–53,"Zurich, Neunbrunnenstrasse 47–53",Zurich Neunbrunnenstrasse 47–53 SO 1993 2013 4 291 yes Minergie 4 640 – – 14 21 5 40 – 1.6 0.1 3.22/2.20,SO,1993,2013,Zurich Neunbrunnenstrasse 47–53,4640,NA,NA,14,21,5,40,NA,1.6,0.1,3.22/2.20,4291,NA,NA,NA,NA,Zurich,Neunbrunnenstrasse 47–53,"Neunbrunnenstrasse 47–53, Zurich, Switzerland",47.4166105,8.5353967,NA
ALLN_R_006,ALLN,Allreal Holding AG,Residential,2025-12-31,Zurich,Schiffbaustrasse ,"Zurich, Schiffbaustrasse ",Zurich Schiffbaustrasse 7 SO 2010 2016 1 610 no Minergie 2 333 – 3 16 3 1 23 1 018 1.4 1.8 3.37/2.35,SO,2010,2016,Zurich Schiffbaustrasse 7,2333,NA,3,16,3,1,23,1018,1.4,1.8,3.37/2.35,1610,NA,NA,NA,NA,Zurich,Schiffbaustrasse,"Schiffbaustrasse, Zurich, Switzerland",47.3886339,8.518707,NA
ALLN_R_007,ALLN,Allreal Holding AG,Residential,2025-12-31,Zurich,Zollikerstrasse 185–187,"Zurich, Zollikerstrasse 185–187",Zurich Zollikerstrasse 185–187 SO 2008 1984 2017 PR 1 445 no 1 656 2 2 4 4 2 14 100 0.7 1.1 3.22/2.20,SO,2008,1984,Zurich Zollikerstrasse 185–187,1656,2,2,4,4,2,14,100,0.7,1.1,3.22/2.20,1445,NA,NA,NA,NA,Zurich,Zollikerstrasse 185–187,"Zollikerstrasse 185–187, Zurich, Switzerland",47.3545233,8.5614792,NA
ALLN_R_008,ALLN,Allreal Holding AG,Residential,2025-12-31,Adliswil,Moosstrasse 1–13 / Grütstrasse 33–39,"Adliswil, Moosstrasse 1–13 / Grütstrasse 33–39",Adliswil Grütstrasse 33–39 SO 2005 2011 13 901 no Minergie 13 381 – 28 62 38 10 138 285 4.0 0.1 3.42/2.40,SO,2005,2011,Adliswil Grütstrasse 33–39,13381,NA,28,62,38,10,138,285,4,0.1,3.42/2.40,13901,NA,NA,NA,NA,Adliswil,Moosstrasse 1–13,"Moosstrasse 1–13, Adliswil, Switzerland",47.3227749,8.5321644,NA
ALLN_R_009,ALLN,Allreal Holding AG,Residential,2025-12-31,Bülach,Hohfuristrasse 7–11 / Unterweg 55–59 / Im Stumpen 2,"Bülach, Hohfuristrasse 7–11 / Unterweg 55–59 / Im Stumpen 2",Bülach Im Stumpen 2 SO 1999 1979 2013 TR 8 412 no 3 850 – 8 17 18 6 49 101 1.0 0.8 3.47/2.45,SO,1999,1979,Bülach Im Stumpen 2,3850,NA,8,17,18,6,49,101,1,0.8,3.47/2.45,8412,NA,NA,NA,NA,Bülach,Hohfuristrasse 7–11,"Hohfuristrasse 7–11, Bülach, Switzerland",47.5268656,8.5422897,NA
ALLN_R_010,ALLN,Allreal Holding AG,Residential,2025-12-31,Bülach,Fangletenstrasse 4–18,"Bülach, Fangletenstrasse 4–18",Bülach Fangletenstrasse 4–18 SO 2018 2018 11 018 no Minergie-Eco 7 253 – 14 25 31 6 76 – 2.1 0.1 3.32/2.30,SO,2018,2018,Bülach Fangletenstrasse 4–18,7253,NA,14,25,31,6,76,NA,2.1,0.1,3.32/2.30,11018,NA,NA,NA,NA,Bülach,Fangletenstrasse 4–18,"Fangletenstrasse 4–18, Bülach, Switzerland",47.5271933,8.5365732,NA
ALLN_R_011,ALLN,Allreal Holding AG,Residential,2025-12-31,Fällanden,Unterdorfstrasse 2/4 / Unterdorfwäg 2–22,"Fällanden, Unterdorfstrasse 2/4 / Unterdorfwäg 2–22",Fällanden Unterdorfwäg 2–22 SO 2003 2008 2019–2022 PR 23 691 no 14 903 – 20 41 56 22 139 2 882 4.4 0.3 3.53/2.50,SO,2003,2008,Fällanden Unterdorfwäg 2–22,14903,NA,20,41,56,22,139,2882,4.4,0.3,3.53/2.50,23691,NA,NA,NA,NA,Fällanden,Unterdorfstrasse 2,"Unterdorfstrasse 2, Fällanden, Switzerland",47.3738744,8.6410578,NA
ALLN_R_012,ALLN,Allreal Holding AG,Residential,2025-12-31,Glattbrugg,"Hohenstieglen 1–23, 2–16","Glattbrugg, Hohenstieglen 1–23, 2–16","Glattbrugg 1–23, 2–16 SO 1999 1990 2017 PR 29 639 no 14 236 18 30 71 41 – 160 734 3.3 0.8 3.53/2.50",SO,1999,1990,"Glattbrugg 1–23, 2–16",14236,18,30,71,41,NA,160,734,3.3,0.8,3.53/2.50,29639,NA,NA,NA,NA,Glattbrugg,"Hohenstieglen 1–23, 2–16","Hohenstieglen 1–23, 2–16, Glattbrugg, Switzerland",47.4276665,8.5577779,"Hohenstieglen 1, Glattbrugg, Switzerland"
ALLN_R_013,ALLN,Allreal Holding AG,Residential,2025-12-31,Kloten,Schaffhauserstrasse 117/119,"Kloten, Schaffhauserstrasse 117/119",Kloten Schaffhauserstrasse 117/119 SO 2001 1992 3 643 no 2 091 – 4 – 10 4 18 201 0.6 1.1 3.53/2.50,SO,2001,1992,Kloten Schaffhauserstrasse 117/119,2091,NA,4,NA,10,4,18,201,0.6,1.1,3.53/2.50,3643,NA,NA,NA,NA,Kloten,Schaffhauserstrasse 117,"Schaffhauserstrasse 117, Kloten, Switzerland",47.4498571,8.5811779,NA
ALLN_R_014,ALLN,Allreal Holding AG,Residential,2025-12-31,Schlieren,Limmataustrasse 2–8 / Limmatstrasse 9–11 / Engstringermatte,"Schlieren, Limmataustrasse 2–8 / Limmatstrasse 9–11 / Engstringermatte",Schlieren Engstringermatte SO 1999 1984 2018 TR 8 907 no 5 100 – 18 24 12 – 54 286 1.2 0.2 3.47/2.24,SO,1999,1984,Schlieren Engstringermatte,5100,NA,18,24,12,NA,54,286,1.2,0.2,3.47/2.24,8907,NA,NA,NA,NA,Schlieren,Limmataustrasse 2–8,"Limmataustrasse 2–8, Schlieren, Switzerland",47.4067148,8.4490859,NA
ALLN_R_015,ALLN,Allreal Holding AG,Residential,2025-12-31,Schlieren,Flöhrebenstrasse ,"Schlieren, Flöhrebenstrasse ",Schlieren Flöhrebenstrasse 6 LO 2002 1988 2 691 no 3 332 – – 24 16 – 40 294 0.8 1.0 3.53/2.50,LO,2002,1988,Schlieren Flöhrebenstrasse 6,3332,NA,NA,24,16,NA,40,294,0.8,1,3.53/2.50,2691,NA,NA,NA,NA,Schlieren,Flöhrebenstrasse,"Flöhrebenstrasse, Schlieren, Switzerland",47.3966325,8.4624439,NA
ALLN_R_016,ALLN,Allreal Holding AG,Residential,2025-12-31,Volketswil,Sunnebüelstrasse 1–17 / Ifangstrasse 12–20 / Neufund 1/3,"Volketswil, Sunnebüelstrasse 1–17 / Ifangstrasse 12–20 / Neufund 1/3",Volketswil Neufund 1/3 SO 1999 1968 2002/2003 TR 20 110 no 12 236 – – 48 62 38 148 136 2.7 0.0 3.78/2.75,SO,1999,1968,Volketswil Neufund 1/3,12236,NA,NA,48,62,38,148,136,2.7,0,3.78/2.75,20110,NA,NA,NA,NA,Volketswil,Sunnebüelstrasse 1–17,"Sunnebüelstrasse 1–17, Volketswil, Switzerland",47.3907976,8.6805744,NA
ALLN_R_017,ALLN,Allreal Holding AG,Residential,2025-12-31,Wallisellen,Escherweg 2–6 / Favreweg 1–5 / Richtiarkade 13–15 / Richtiring 14–16 (Richti-Areal),"Wallisellen, Escherweg 2–6 / Favreweg 1–5 / Richtiarkade 13–15 / Richtiring 14–16 (Richti-Areal)",Wallisellen (Richti-Areal) SO 2002 2014 8 242 no Minergie 12 659 1 18 75 22 2 118 1 201 4.2 0.3 3.42/2.40,SO,2002,2014,Wallisellen (Richti-Areal),12659,1,18,75,22,2,118,1201,4.2,0.3,3.42/2.40,8242,NA,NA,NA,NA,Wallisellen,Escherweg 2–6,"Escherweg 2–6, Wallisellen, Switzerland",47.4107858,8.5956681,NA
ALLN_R_018,ALLN,Allreal Holding AG,Residential,2025-12-31,Bernex,Rue de Bernex 315-327,"Bernex, Rue de Bernex 315-327",Bernex Rue de Bernex 315-327 SO 2021 1964 2019 PR 5 713 no 2 101 1 3 12 12 4 32 958 1.1 0.7 3.83/2.80,SO,2021,1964,Bernex Rue de Bernex 315-327,2101,1,3,12,12,4,32,958,1.1,0.7,3.83/2.80,5713,NA,NA,NA,NA,Bernex,Rue de Bernex 315-327,"Rue de Bernex 315-327, Bernex, Switzerland",46.1717446,6.0603931,NA
ALLN_R_019,ALLN,Allreal Holding AG,Residential,2025-12-31,Carouge,Avenue Industrielle 18,"Carouge, Avenue Industrielle 18",Carouge Avenue Industrielle 18 SO 2021 1915 2020 PR 462 no 1 005 – 20 1 2 1 24 – 0.5 0.7 3.68/2.65,SO,2021,1915,Carouge Avenue Industrielle 18,1005,NA,20,1,2,1,24,NA,0.5,0.7,3.68/2.65,462,NA,NA,NA,NA,Carouge,Avenue Industrielle 18,"Avenue Industrielle 18, Carouge, Switzerland",46.1887552,6.1350006,NA
ALLN_R_020,ALLN,Allreal Holding AG,Residential,2025-12-31,Genf,Avenue de l’Amandolier 21,"Genf, Avenue de l’Amandolier 21",Genf Avenue de l’Amandolier 21 SO 2021 2025 1 664 no HPE 1 107 – 2 2 8 4 16 184 0.1 0.0 3.53/2.50,SO,2021,2025,Genf Avenue de l’Amandolier 21,1107,NA,2,2,8,4,16,184,0.1,0,3.53/2.50,1664,NA,NA,NA,NA,Geneva,Avenue de l’Amandolier 21,"Avenue de l’Amandolier 21, Geneva, Switzerland",46.1973358,6.1671225,NA
ALLN_R_021,ALLN,Allreal Holding AG,Residential,2025-12-31,Genf,Rue Edouard-Rod 10,"Genf, Rue Edouard-Rod 10",Genf Rue Edouard-Rod 10 SO 2021 2025 248 no HPE 1 231 – – – 16 – 16 115 0.1 0.0 3.47/2.45,SO,2021,2025,Genf Rue Edouard-Rod 10,1231,NA,NA,NA,16,NA,16,115,0.1,0,3.47/2.45,248,NA,NA,NA,NA,Geneva,Rue Edouard-Rod 10,"Rue Edouard-Rod 10, Geneva, Switzerland",46.213071,6.1225618,NA
