property_id,ticker,company,report_date,address,city,report_property,target_rental_income_tchf,vacancy_rate_pct,ownership_status,year_construction,year_renovation,site_area_m2,commercial_area_m2,retail_pct,office_pct,hotel_gastronomy_pct,assisted_living_pct,storage_pct,other_pct,source_pdf_page,full_address,simplified_address,simplified_full_address,latitude,longitude,second_pass_address.x,second_pass_full_address.x,second_pass_address.y,second_pass_full_address.y,manual_geocode_address
SPSN_001,SPSN,Swiss Prime Site AG,2025-12-31,"Grabenstrasse 17, 19",Baar,"Baar, Grabenstrasse 17, 19",1279,NA,sole ownership,2015,NA,2084,3685,NA,95.8,NA,NA,4.2,NA,2,"Grabenstrasse 17, 19, Baar, Switzerland","Grabenstrasse 17, 19","Grabenstrasse 17, 19, Baar, Switzerland",47.1856379,8.5180689,Grabenstrasse 17,"Grabenstrasse 17, Baar, Switzerland",Grabenstrasse 17,"Grabenstrasse 17, Baar, Switzerland",NA
SPSN_002,SPSN,Swiss Prime Site AG,2025-12-31,"Zugerstrasse 57, 63",Baar,"Baar, Zugerstrasse 57, 63",3243,2.7,sole ownership,2009,NA,6029,8992,NA,91.4,4.6,NA,2.7,1.3,2,"Zugerstrasse 57, 63, Baar, Switzerland","Zugerstrasse 57, 63","Zugerstrasse 57, 63, Baar, Switzerland",47.1855525,8.5206399,Zugerstrasse 57,"Zugerstrasse 57, Baar, Switzerland",Zugerstrasse 57,"Zugerstrasse 57, Baar, Switzerland",NA
SPSN_003,SPSN,Swiss Prime Site AG,2025-12-31,Aeschenvorstadt 2–4,Basel,"Basel, Aeschenvorstadt 2–4",2114,8.8,sole ownership,1960,2005,1362,6226,28.8,52.1,NA,NA,18.6,0.5,2,"Aeschenvorstadt 2–4, Basel, Switzerland",Aeschenvorstadt 2–4,"Aeschenvorstadt 2–4, Basel, Switzerland",47.553065,7.5929095,NA,NA,NA,NA,NA
SPSN_004,SPSN,Swiss Prime Site AG,2025-12-31,Barfüsserplatz 3,Basel,"Basel, Barfüsserplatz 3",1402,NA,sole ownership,1870/ 1874,2020,751,3826,9.7,78.6,NA,NA,11.6,0.1,2,"Barfüsserplatz 3, Basel, Switzerland",Barfüsserplatz 3,"Barfüsserplatz 3, Basel, Switzerland",47.5551207,7.5896665,NA,NA,NA,NA,NA
SPSN_005,SPSN,Swiss Prime Site AG,2025-12-31,Centralbahnplatz 9/10,Basel,"Basel, Centralbahnplatz 9/10",903,5.9,sole ownership,2005,2005,403,1445,6.6,37.9,22.9,NA,14.7,17.9,2,"Centralbahnplatz 9/10, Basel, Switzerland",Centralbahnplatz 9/10,"Centralbahnplatz 9/10, Basel, Switzerland",47.5480888,7.5901818,NA,NA,NA,NA,NA
SPSN_006,SPSN,Swiss Prime Site AG,2025-12-31,Elisabethenstrasse 15,Basel,"Basel, Elisabethenstrasse 15",1442,0.2,sole ownership,1933,1993,953,4277,13,71.8,7.7,NA,7.5,NA,2,"Elisabethenstrasse 15, Basel, Switzerland",Elisabethenstrasse 15,"Elisabethenstrasse 15, Basel, Switzerland",47.5529657,7.5917699,NA,NA,NA,NA,NA
SPSN_007,SPSN,Swiss Prime Site AG,2025-12-31,Freie Strasse 26/Falknerstrasse 3,Basel,"Basel, Freie Strasse 26/Falknerstrasse 3",1344,NA,sole ownership,1854,1980,471,2877,43.5,50.2,NA,NA,6.3,NA,2,"Freie Strasse 26/Falknerstrasse 3, Basel, Switzerland",Freie Strasse 26/Falknerstrasse 3,"Freie Strasse 26/Falknerstrasse 3, Basel, Switzerland",47.5566493,7.5894132,Freie Strasse 26,"Freie Strasse 26, Basel, Switzerland",Freie Strasse 26,"Freie Strasse 26, Basel, Switzerland",NA
SPSN_008,SPSN,Swiss Prime Site AG,2025-12-31,Freie Strasse 36,Basel,"Basel, Freie Strasse 36",1608,NA,sole ownership,1894,2003 2015/,517,2429,59.4,13.6,NA,NA,21.5,5.5,2,"Freie Strasse 36, Basel, Switzerland",Freie Strasse 36,"Freie Strasse 36, Basel, Switzerland",47.5563929,7.589759,NA,NA,NA,NA,NA
SPSN_009,SPSN,Swiss Prime Site AG,2025-12-31,Freie Strasse 68,Basel,"Basel, Freie Strasse 68",2936,NA,sole ownership,1930,2016,1461,8207,19.4,1.2,62.9,NA,16,0.5,2,"Freie Strasse 68, Basel, Switzerland",Freie Strasse 68,"Freie Strasse 68, Basel, Switzerland",47.5551236,7.5907676,NA,NA,NA,NA,NA
SPSN_010,SPSN,Swiss Prime Site AG,2025-12-31,Henric Petri-Strasse 9/Elisabethenstrasse 19,Basel,"Basel, Henric Petri-Strasse 9/Elisabethenstrasse 19",1099,8.7,sole ownership,1949,1985,2387,6719,NA,75.8,NA,NA,24.1,0.1,2,"Henric Petri-Strasse 9/Elisabethenstrasse 19, Basel, Switzerland",Henric Petri-Strasse 9/Elisabethenstrasse 19,"Henric Petri-Strasse 9/Elisabethenstrasse 19, Basel, Switzerland",47.5525617,7.5917688,Henric Petri-Strasse 9,"Henric Petri-Strasse 9, Basel, Switzerland",Henric Petri-Strasse 9,"Henric Petri-Strasse 9, Basel, Switzerland",NA
SPSN_011,SPSN,Swiss Prime Site AG,2025-12-31,Hochbergerstrasse 40/parking,Basel,"Basel, Hochbergerstrasse 40/parking",601,13.8,sole ownership land lease,1976,NA,4208,NA,NA,NA,NA,NA,NA,NA,2,"Hochbergerstrasse 40/parking, Basel, Switzerland",Hochbergerstrasse 40,"Hochbergerstrasse 40, Basel, Switzerland",47.5760908,7.5985987,NA,NA,NA,NA,NA
SPSN_012,SPSN,Swiss Prime Site AG,2025-12-31,Hochbergerstrasse 60/building 860,Basel,"Basel, Hochbergerstrasse 60/building 860",192,21.2,sole ownership,1990,NA,980,910,NA,84.2,NA,NA,13.9,1.9,2,"Hochbergerstrasse 60/building 860, Basel, Switzerland",Hochbergerstrasse 60/building 860,"Hochbergerstrasse 60/building 860, Basel, Switzerland",47.5779394,7.5965081,Hochbergerstrasse 60,"Hochbergerstrasse 60, Basel, Switzerland",Hochbergerstrasse 60,"Hochbergerstrasse 60, Basel, Switzerland",NA
SPSN_013,SPSN,Swiss Prime Site AG,2025-12-31,Hochbergerstrasse 60/Stücki Businesspark,Basel,"Basel, Hochbergerstrasse 60/Stücki Businesspark",9995,1.1,sole ownership,2021/ 2008,NA,8343,37293,NA,64,NA,NA,18.6,17.4,2,"Hochbergerstrasse 60/Stücki Businesspark, Basel, Switzerland",Hochbergerstrasse 60,"Hochbergerstrasse 60, Basel, Switzerland",47.5777955,7.5964463,NA,NA,NA,NA,NA
SPSN_014,SPSN,Swiss Prime Site AG,2025-12-31,Hochbergerstrasse 60 F-I/Stücki Park,Basel,"Basel, Hochbergerstrasse 60 F-I/Stücki Park",13079,8.1,sole ownership,2023,NA,10859,31431,NA,41.6,0.1,NA,58.3,NA,2,"Hochbergerstrasse 60 F-I/Stücki Park, Basel, Switzerland",Hochbergerstrasse 60 F-I,"Hochbergerstrasse 60 F-I, Basel, Switzerland",47.5788942,7.5973265,Hochbergerstrasse 60 F-I,"Hochbergerstrasse 60 F-I, Basel, Switzerland",Hochbergerstrasse 60 F-I,"Hochbergerstrasse 60 F-I, Basel, Switzerland","Hochbergerstrasse 60, Basel, Switzerland"
SPSN_015,SPSN,Swiss Prime Site AG,2025-12-31,Hochbergerstrasse 62,Basel,"Basel, Hochbergerstrasse 62",424,NA,sole ownership,2005,2019–,2680,NA,NA,NA,NA,NA,NA,NA,2,"Hochbergerstrasse 62, Basel, Switzerland",Hochbergerstrasse 62,"Hochbergerstrasse 62, Basel, Switzerland",47.5779041,7.596495,NA,NA,NA,NA,NA
SPSN_016,SPSN,Swiss Prime Site AG,2025-12-31,Hochbergerstrasse 70/Stücki Park (Shopping),Basel,"Basel, Hochbergerstrasse 70/Stücki Park (Shopping)",8882,9.1,sole sole ownership ownership,2009,2021,45966,44829,20.2,14.4,56.9,NA,7.9,0.6,2,"Hochbergerstrasse 70/Stücki Park (Shopping), Basel, Switzerland",Hochbergerstrasse 70,"Hochbergerstrasse 70, Basel, Switzerland",47.5802689,7.5960668,NA,NA,NA,NA,NA
SPSN_017,SPSN,Swiss Prime Site AG,2025-12-31,Messeplatz 12/Messeturm,Basel,"Basel, Messeplatz 12/Messeturm",10274,4.8,partial lease land,2003,NA,2137,23614,NA,53.5,43.1,NA,3.4,NA,2,"Messeplatz 12/Messeturm, Basel, Switzerland",Messeplatz 12,"Messeplatz 12, Basel, Switzerland",47.5643703,7.6023541,NA,NA,NA,NA,NA
SPSN_018,SPSN,Swiss Prime Site AG,2025-12-31,Peter Merian-Strasse 80,Basel,"Basel, Peter Merian-Strasse 80",2464,6.3,freehold property,1999,1998/,19214,8510,NA,82.7,NA,NA,15.3,2,2,"Peter Merian-Strasse 80, Basel, Switzerland",Peter Merian-Strasse 80,"Peter Merian-Strasse 80, Basel, Switzerland",47.5463351,7.5939739,NA,NA,NA,NA,NA
SPSN_019,SPSN,Swiss Prime Site AG,2025-12-31,Rebgasse 20,Basel,"Basel, Rebgasse 20",3270,0.3,sole ownership,1973,2021,3713,8881,47.2,11.8,14.9,NA,15.7,10.4,2,"Rebgasse 20, Basel, Switzerland",Rebgasse 20,"Rebgasse 20, Basel, Switzerland",47.5605996,7.5942134,NA,NA,NA,NA,NA
