property_id,ticker,company,address,city,source_url,scrape_date,full_address,latitude,longitude,simplified_address,simplified_full_address
PSPN_001,PSPN,PSP Swiss Property AG,Barfüsserplatz 10,Basel,NA,2026-08-26,"Barfüsserplatz 10, Basel, Switzerland",47.5543447,7.5887267,Barfüsserplatz 10,"Barfüsserplatz 10, Basel, Switzerland"
PSPN_002,PSPN,PSP Swiss Property AG,Dornacherstrasse 210,Basel,NA,2026-08-26,"Dornacherstrasse 210, Basel, Switzerland",47.5412855,7.5944857,Dornacherstrasse 210,"Dornacherstrasse 210, Basel, Switzerland"
PSPN_003,PSPN,PSP Swiss Property AG,Falknerstrasse 31 / Weisse Gasse 16,Basel,NA,2026-08-26,"Falknerstrasse 31 / Weisse Gasse 16, Basel, Switzerland",47.5555484,7.5893591,Falknerstrasse 31,"Falknerstrasse 31, Basel, Switzerland"
PSPN_004,PSPN,PSP Swiss Property AG,Freie Strasse 38,Basel,NA,2026-08-26,"Freie Strasse 38, Basel, Switzerland",47.5562228,7.5898458,Freie Strasse 38,"Freie Strasse 38, Basel, Switzerland"
PSPN_005,PSPN,PSP Swiss Property AG,Greifengasse 21,Basel,NA,2026-08-26,"Greifengasse 21, Basel, Switzerland",47.5614329,7.5925382,Greifengasse 21,"Greifengasse 21, Basel, Switzerland"
PSPN_006,PSPN,PSP Swiss Property AG,Grosspeterstrasse 44,Basel,NA,2026-08-26,"Grosspeterstrasse 44, Basel, Switzerland",47.545042,7.6019635,Grosspeterstrasse 44,"Grosspeterstrasse 44, Basel, Switzerland"
PSPN_007,PSPN,PSP Swiss Property AG,Grosspeterstrasse 18 / Grosspeteranlage 11,Basel,NA,2026-08-26,"Grosspeterstrasse 18 / Grosspeteranlage 11, Basel, Switzerland",47.5450167,7.6003472,Grosspeterstrasse 18,"Grosspeterstrasse 18, Basel, Switzerland"
PSPN_008,PSPN,PSP Swiss Property AG,Hochstrasse 16 / Pfeffingerstrasse 5,Basel,NA,2026-08-26,"Hochstrasse 16 / Pfeffingerstrasse 5, Basel, Switzerland",47.5451793,7.5926586,Hochstrasse 16,"Hochstrasse 16, Basel, Switzerland"
PSPN_009,PSPN,PSP Swiss Property AG,"Kirschgartenstrasse 12, 14",Basel,NA,2026-08-26,"Kirschgartenstrasse 12, 14, Basel, Switzerland",47.5514971,7.5916713,Kirschgartenstrasse 12,"Kirschgartenstrasse 12, Basel, Switzerland"
PSPN_010,PSPN,PSP Swiss Property AG,Marktgasse 4,Basel,NA,2026-08-26,"Marktgasse 4, Basel, Switzerland",47.5598403,7.5875563,Marktgasse 4,"Marktgasse 4, Basel, Switzerland"
PSPN_011,PSPN,PSP Swiss Property AG,Marktgasse 5,Basel,NA,2026-08-26,"Marktgasse 5, Basel, Switzerland",47.5595538,7.5875753,Marktgasse 5,"Marktgasse 5, Basel, Switzerland"
PSPN_012,PSPN,PSP Swiss Property AG,"Peter Merian-Strasse 88, 90",Basel,NA,2026-08-26,"Peter Merian-Strasse 88, 90, Basel, Switzerland",47.5458482,7.5952919,Peter Merian-Strasse 88,"Peter Merian-Strasse 88, Basel, Switzerland"
PSPN_013,PSPN,PSP Swiss Property AG,St. Alban-Anlage 46,Basel,NA,2026-08-26,"St. Alban-Anlage 46, Basel, Switzerland",47.5521807,7.6006162,St. Alban-Anlage 46,"St. Alban-Anlage 46, Basel, Switzerland"
PSPN_014,PSPN,PSP Swiss Property AG,"Steinentorberg 8, 12",Basel,NA,2026-08-26,"Steinentorberg 8, 12, Basel, Switzerland",47.5504547,7.5872529,Steinentorberg 8,"Steinentorberg 8, Basel, Switzerland"
PSPN_015,PSPN,PSP Swiss Property AG,"Bärenplatz 9, 11, 27 / Käfiggässchen 10, 22, 26",Bern,NA,2026-08-26,"Bärenplatz 9, 11, 27 / Käfiggässchen 10, 22, 26, Bern, Switzerland",46.9478264,7.4438747,Bärenplatz 9,"Bärenplatz 9, Bern, Switzerland"
PSPN_016,PSPN,PSP Swiss Property AG,Bollwerk 15,Bern,NA,2026-08-26,"Bollwerk 15, Bern, Switzerland",46.9493712,7.4406661,Bollwerk 15,"Bollwerk 15, Bern, Switzerland"
PSPN_017,PSPN,PSP Swiss Property AG,Genfergasse 4,Bern,NA,2026-08-26,"Genfergasse 4, Bern, Switzerland",46.9492854,7.4410634,Genfergasse 4,"Genfergasse 4, Bern, Switzerland"
PSPN_018,PSPN,PSP Swiss Property AG,Kramgasse 49,Bern,NA,2026-08-26,"Kramgasse 49, Bern, Switzerland",46.9476741,7.449971,Kramgasse 49,"Kramgasse 49, Bern, Switzerland"
PSPN_019,PSPN,PSP Swiss Property AG,Kramgasse 78,Bern,NA,2026-08-26,"Kramgasse 78, Bern, Switzerland",46.9480591,7.4485012,Kramgasse 78,"Kramgasse 78, Bern, Switzerland"
PSPN_020,PSPN,PSP Swiss Property AG,Laupenstrasse 10,Bern,NA,2026-08-26,"Laupenstrasse 10, Bern, Switzerland",46.9473844,7.4361881,Laupenstrasse 10,"Laupenstrasse 10, Bern, Switzerland"
PSPN_021,PSPN,PSP Swiss Property AG,"Laupenstrasse 18, 18a",Bern,NA,2026-08-26,"Laupenstrasse 18, 18a, Bern, Switzerland",46.9474304,7.4351242,Laupenstrasse 18,"Laupenstrasse 18, Bern, Switzerland"
PSPN_022,PSPN,PSP Swiss Property AG,"Seilerstrasse 8, 8a",Bern,NA,2026-08-26,"Seilerstrasse 8, 8a, Bern, Switzerland",46.9465801,7.4344827,Seilerstrasse 8,"Seilerstrasse 8, Bern, Switzerland"
PSPN_023,PSPN,PSP Swiss Property AG,Waisenhausplatz 14,Bern,NA,2026-08-26,"Waisenhausplatz 14, Bern, Switzerland",46.9489677,7.4437234,Waisenhausplatz 14,"Waisenhausplatz 14, Bern, Switzerland"
PSPN_024,PSPN,PSP Swiss Property AG,"Zeughausgasse 26, 28",Bern,NA,2026-08-26,"Zeughausgasse 26, 28, Bern, Switzerland",46.9491393,7.44478,Zeughausgasse 26,"Zeughausgasse 26, Bern, Switzerland"
PSPN_025,PSPN,PSP Swiss Property AG,Waldeggstrasse 30,Liebefeld,NA,2026-08-26,"Waldeggstrasse 30, Liebefeld, Switzerland",46.9337234,7.4196767,Waldeggstrasse 30,"Waldeggstrasse 30, Liebefeld, Switzerland"
PSPN_026,PSPN,PSP Swiss Property AG,Waldeggstrasse 37,Liebefeld,NA,2026-08-26,"Waldeggstrasse 37, Liebefeld, Switzerland",46.9319652,7.4197052,Waldeggstrasse 37,"Waldeggstrasse 37, Liebefeld, Switzerland"
PSPN_027,PSPN,PSP Swiss Property AG,Waldeggstrasse 38,Liebefeld,NA,2026-08-26,"Waldeggstrasse 38, Liebefeld, Switzerland",46.9333858,7.4187088,Waldeggstrasse 38,"Waldeggstrasse 38, Liebefeld, Switzerland"
PSPN_028,PSPN,PSP Swiss Property AG,"Waldeggstrasse 41, 45, 47",Liebefeld,NA,2026-08-26,"Waldeggstrasse 41, 45, 47, Liebefeld, Switzerland",46.9329219,7.4191912,Waldeggstrasse 41,"Waldeggstrasse 41, Liebefeld, Switzerland"
PSPN_029,PSPN,PSP Swiss Property AG,"Cours de Rive 13, 15 / Boulevard Helvétique 25",Genève,NA,2026-08-26,"Cours de Rive 13, 15 / Boulevard Helvétique 25, Genève, Switzerland",46.2017327,6.1540268,Cours de Rive 13,"Cours de Rive 13, Genève, Switzerland"
PSPN_030,PSPN,PSP Swiss Property AG,"Place de la Synagogue 3, 5 / Rue Jean-Petitot 4, 6",Genève,NA,2026-08-26,"Place de la Synagogue 3, 5 / Rue Jean-Petitot 4, 6, Genève, Switzerland",46.2029441,6.1407536,Place de la Synagogue 3,"Place de la Synagogue 3, Genève, Switzerland"
PSPN_031,PSPN,PSP Swiss Property AG,Place du Molard 7,Genève,NA,2026-08-26,"Place du Molard 7, Genève, Switzerland",46.2033515,6.1480286,Place du Molard 7,"Place du Molard 7, Genève, Switzerland"
PSPN_032,PSPN,PSP Swiss Property AG,"Rue de Hesse 18, Rue Henriette-et-Jeanne-Rath 13",Genève,NA,2026-08-26,"Rue de Hesse 18, Rue Henriette-et-Jeanne-Rath 13, Genève, Switzerland",46.202647,6.1425465,"Rue de Hesse 18, Rue Henriette-et-Jeanne-Rath 13","Rue de Hesse 18, Rue Henriette-et-Jeanne-Rath 13, Genève, Switzerland"
PSPN_033,PSPN,PSP Swiss Property AG,Rue de l’Arquebuse 8,Genève,NA,2026-08-26,"Rue de l’Arquebuse 8, Genève, Switzerland",46.203022,6.1391336,Rue de l’Arquebuse 8,"Rue de l’Arquebuse 8, Genève, Switzerland"
PSPN_034,PSPN,PSP Swiss Property AG,Rue de la Confédération 2,Genève,NA,2026-08-26,"Rue de la Confédération 2, Genève, Switzerland",46.2037481,6.1433446,Rue de la Confédération 2,"Rue de la Confédération 2, Genève, Switzerland"
PSPN_035,PSPN,PSP Swiss Property AG,"Rue de la Corraterie 24, 26",Genève,NA,2026-08-26,"Rue de la Corraterie 24, 26, Genève, Switzerland",46.2022399,6.1434548,Rue de la Corraterie 24,"Rue de la Corraterie 24, Genève, Switzerland"
PSPN_036,PSPN,PSP Swiss Property AG,"Rue de la Corraterie 5, 7 / Rue de la Cité 6",Genève,NA,2026-08-26,"Rue de la Corraterie 5, 7 / Rue de la Cité 6, Genève, Switzerland",46.2033034,6.1433281,Rue de la Corraterie 5,"Rue de la Corraterie 5, Genève, Switzerland"
PSPN_037,PSPN,PSP Swiss Property AG,Rue de la Fontaine 5,Genève,NA,2026-08-26,"Rue de la Fontaine 5, Genève, Switzerland",46.2018092,6.1499285,Rue de la Fontaine 5,"Rue de la Fontaine 5, Genève, Switzerland"
PSPN_038,PSPN,PSP Swiss Property AG,"Rue des Bains 31bis, 33, 35",Genève,NA,2026-08-26,"Rue des Bains 31bis, 33, 35, Genève, Switzerland",46.1987177,6.1370006,"Rue des Bains 31bis, 33","Rue des Bains 31bis, 33, Genève, Switzerland"
PSPN_039,PSPN,PSP Swiss Property AG,Rue du Marché 40,Genève,NA,2026-08-26,"Rue du Marché 40, Genève, Switzerland",46.2028153,6.1477318,Rue du Marché 40,"Rue du Marché 40, Genève, Switzerland"
PSPN_040,PSPN,PSP Swiss Property AG,Rue du Mont-Blanc 12,Genève,NA,2026-08-26,"Rue du Mont-Blanc 12, Genève, Switzerland",46.2075952,6.1467518,Rue du Mont-Blanc 12,"Rue du Mont-Blanc 12, Genève, Switzerland"
PSPN_041,PSPN,PSP Swiss Property AG,"Rue du Prince 9, 11",Genève,NA,2026-08-26,"Rue du Prince 9, 11, Genève, Switzerland",46.2025281,6.1509683,Rue du Prince 9,"Rue du Prince 9, Genève, Switzerland"
PSPN_042,PSPN,PSP Swiss Property AG,Rue du XXXI-Décembre 8,Genève,NA,2026-08-26,"Rue du XXXI-Décembre 8, Genève, Switzerland",46.2048883,6.1579167,Rue du XXXI-Décembre 8,"Rue du XXXI-Décembre 8, Genève, Switzerland"
PSPN_043,PSPN,PSP Swiss Property AG,Rue F. Bonivard 12 / Rue des Alpes 11,Genève,NA,2026-08-26,"Rue F. Bonivard 12 / Rue des Alpes 11, Genève, Switzerland",46.2085271,6.1474061,Rue F. Bonivard 12,"Rue F. Bonivard 12, Genève, Switzerland"
PSPN_044,PSPN,PSP Swiss Property AG,Rue François-Diday 8,Genève,NA,2026-08-26,"Rue François-Diday 8, Genève, Switzerland",46.2028974,6.1426608,Rue François-Diday 8,"Rue François-Diday 8, Genève, Switzerland"
PSPN_045,PSPN,PSP Swiss Property AG,Rue Henriette-et-Jeanne-Rath 14 / Rue de Hesse 16bis,Genève,NA,2026-08-26,"Rue Henriette-et-Jeanne-Rath 14 / Rue de Hesse 16bis, Genève, Switzerland",46.2024555,6.1422899,Rue Henriette-et-Jeanne-Rath 14,"Rue Henriette-et-Jeanne-Rath 14, Genève, Switzerland"
PSPN_046,PSPN,PSP Swiss Property AG,Rue Richard-Wagner 6,Genève,NA,2026-08-26,"Rue Richard-Wagner 6, Genève, Switzerland",46.2181675,6.141669,Rue Richard-Wagner 6,"Rue Richard-Wagner 6, Genève, Switzerland"
PSPN_047,PSPN,PSP Swiss Property AG,Rue de la Gabelle 6,Carouge,NA,2026-08-26,"Rue de la Gabelle 6, Carouge, Switzerland",46.1889427,6.1333589,Rue de la Gabelle 6,"Rue de la Gabelle 6, Carouge, Switzerland"
PSPN_048,PSPN,PSP Swiss Property AG,Quai de Cologny 5,Cologny,NA,2026-08-26,"Quai de Cologny 5, Cologny, Switzerland",46.2131602,6.1735426,Quai de Cologny 5,"Quai de Cologny 5, Cologny, Switzerland"
PSPN_049,PSPN,PSP Swiss Property AG,Avenue de Cour 135,Lausanne,NA,2026-08-26,"Avenue de Cour 135, Lausanne, Switzerland",46.5171541,6.6097991,Avenue de Cour 135,"Avenue de Cour 135, Lausanne, Switzerland"
PSPN_050,PSPN,PSP Swiss Property AG,Avenue Agassiz 2,Lausanne,NA,2026-08-26,"Avenue Agassiz 2, Lausanne, Switzerland",46.5183886,6.6308492,Avenue Agassiz 2,"Avenue Agassiz 2, Lausanne, Switzerland"
PSPN_051,PSPN,PSP Swiss Property AG,Avenue de Sévelin 40,Lausanne,NA,2026-08-26,"Avenue de Sévelin 40, Lausanne, Switzerland",46.5228918,6.6153795,Avenue de Sévelin 40,"Avenue de Sévelin 40, Lausanne, Switzerland"
PSPN_052,PSPN,PSP Swiss Property AG,Avenue de Sévelin 46,Lausanne,NA,2026-08-26,"Avenue de Sévelin 46, Lausanne, Switzerland",46.5228746,6.6191248,Avenue de Sévelin 46,"Avenue de Sévelin 46, Lausanne, Switzerland"
PSPN_053,PSPN,PSP Swiss Property AG,Avenue de Sévelin 54,Lausanne,NA,2026-08-26,"Avenue de Sévelin 54, Lausanne, Switzerland",46.5231515,6.6171732,Avenue de Sévelin 54,"Avenue de Sévelin 54, Lausanne, Switzerland"
PSPN_054,PSPN,PSP Swiss Property AG,Chemin du Rionzi 52,Lausanne,NA,2026-08-26,"Chemin du Rionzi 52, Lausanne, Switzerland",46.5430209,6.6297028,Chemin du Rionzi 52,"Chemin du Rionzi 52, Lausanne, Switzerland"
