ticker,company,report_date,portfolio_segment,region,report_property,land_area_m2,office_area_m2,retail_area_m2,gastronomy_area_m2,other_area_m2,rentable_area_m2,parking_spaces,vacancy_rate_pct,implied_yield_net_pct,year_construction,year_renovation,purchase_date,owner,ownership_status,ownership_percentage,source_pdf_page,area_components_sum_m2,area_difference_m2,needs_manual_review
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Alfred Escher-Strasse 17",275,950.0,0.0,0,47,997.0,0.0,0.0,3.6,1907,200017,01.10.1999,PR,SO,100.0,2,997,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Augustinergasse 25",236,255.0,0.0,327,157,739.0,1.0,0.0,2.8,1850,1994|2000|04,01.04.2004,PP,SO,100.0,2,739,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bahnhofplatz 1, 2 / Bahnhofquai 9, 11, 15",2014,6783.0,1020.0,307,1053,9163.0,0.0,0.0,2.4,1894|95|99,1990|2021|23|25,01.01.2017,PP,SO,100.0,2,9163,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bahnhofplatz 9",998,2425.0,2011.0,0,26,4462.0,0.0,0.0,2.5,1933,2003/04114|25,01.04.2004,PP,SO,100.0,2,4462,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bahnhofstrasse 10 / Börsenstrasse 18",344,646.0,844.0,0,0,1490.0,0.0,0.0,2.0,1885,1984|2015,01.10.1999,PR,SO,100.0,2,1490,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bahnhofstrasse 28a/Waaggasse 6",763,1894.0,649.0,419,262,3224.0,0.0,0.0,2.5,1812,2005/10/19,01.04.2004,PP,SO,100.0,2,3224,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bahnhofstrasse 39",1093,1750.0,1804.0,0,0,3554.0,7.0,0.0,2.0,1911,1984|2003|13,01.01.2000,PR,SO,100.0,2,3554,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bahnhofstrasse 66",627,0.0,4868.0,0,0,4868.0,0.0,0.0,2.1,1967,1995/2014|25,01.07.2005,PP,SO,100.0,2,4868,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bahnhofstrasse 81 / Schweizergasse 2, 4",355,717.0,1370.0,0,286,2373.0,0.0,0.0,2.3,1931,2001/24,01.04.2004,PP,SO,100.0,2,2373,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Binzring 15, 17",33878,35680.0,0.0,0,5935,41615.0,140.0,0.0,5.8,1992,,01.04.2001,PR,SO,100.0,2,41615,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bleicherweg 10 /Schanzengraben 7",1155,3293.0,341.0,0,418,4052.0,17.0,1.3,2.4,1930|76,1985|2006|09|20,01.10.1999,PR,SO,100.0,2,4052,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Bleicherweg 14",398,489.0,0.0,0,0,489.0,7.0,0.0,3.2,1857,1998]99|2023/24,01.07.2005,PP,SO,100.0,2,489,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 70",298,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1924,2003,01.04.2004,PP,FA,15.4,2,0,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 72",247,,,0,0,,,0.0,0.0,2003,,01.04.2004,PP,FA,10.8,2,0,,
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 80, 82, 84",7384,0.0,0.0,0,13072,13072.0,56.0,0.0,3.0,2005,2020,01.04.2004,PP,SO,100.0,2,13072,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 90",12770,11686.0,0.0,0,158,11844.0,271.0,0.4,2.8,2003,2021,01.04.2004,PP,SO,100.0,2,11844,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 100",5139,8522.0,0.0,0,1134,9656.0,0.0,0.0,3.0,2003,,01.04.2004,PP,SO,100.0,2,9656,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 110",5860,15984.0,0.0,0,0,15984.0,0.0,0.0,3.7,2007,,01.04.2004,PP,SO,100.0,2,15984,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 130, 132",3605,1254.0,808.0,641,0,2703.0,0.0,0.0,2.6,1877|82,2004,01.04.2004,PP,SO,100.0,2,2703,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 150",5926,3519.0,1067.0,0,374,4960.0,0.0,0.0,2.3,1882,2004,01.04.2004,PP,SO,100.0,2,4960,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 152",5194,0.0,0.0,3802,4759,8561.0,0.0,0.0,5.0,1913,2012,01.04.2004,PP,SO,100.0,2,8561,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 152a",583,2443.0,0.0,0,0,2443.0,0.0,0.0,3.4,2008,,01.04.2004,PP,SO,100.0,2,2443,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Brandschenkestrasse 152b",818,714.0,0.0,0,0,711.0,0.0,0.0,4.2,1890,2013,01.04.2004,PP,SO,100.0,2,714,-3,TRUE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Dufourstrasse 56",900,2599.0,292.0,0,0,2891.0,12.0,0.0,3.0,1950,1997|2006/20,01.10.1999,PR,SO,100.0,2,2891,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Förrlibuckstrasse 10",4122,7582.0,0.0,0,617,8199.0,80.0,18.3,3.3,1963,2002|20/21,29.06.2001,PR,SO,100.0,2,8199,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Förrlibuckstrasse 60, 62",10382,15695.0,0.0,885,7830,24410.0,305.0,1.5,4.5,1989,2016/17/21,01.04.2001,PR,SO,100.0,2,24410,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Förrlibuckstrasse 66",2055,5267.0,0.0,0,1851,7118.0,78.0,0.4,4.5,1969,1992|2003|04,01.12.2002,PR,SO,100.0,2,7118,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Förrlibuckstrasse 110",2963,8772.0,350.0,194,1859,11175.0,54.0,0.1,4.5,1962,2000/23,01.12.2002,PR,SO,100.0,2,11175,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Förrlibuckstrasse 151",3495,0.0,0.0,0,1800,1800.0,870.0,0.0,3.7,1975,2000/23,01.12.2002,PR,SO,100.0,2,1800,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Förrlibuckstrasse 181",1789,4831.0,0.0,0,144,4975.0,39.0,0.0,3.8,2002,2021,01.12.2002,PR,SO,100.0,2,4975,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Freieckgasse 7",295,285.0,89.0,210,224,808.0,0.0,0.0,2.9,1700,1992/2012,01.04.2004,PP,SO,100.0,2,808,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Füsslistrasse 6",907,2054.0,905.0,0,45,3004.0,0.0,22.0,1.1,1925,1998/2005|24,01.04.2001,PR,SO,100.0,3,3004,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Gartenstrasse 32",694,1693.0,0.0,0,0,1693.0,18.0,0.0,2.4,1967,1986/2005|22,01.07.2005,PP,SO,100.0,3,1693,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Genferstrasse 23",343,946.0,0.0,0,59,1005.0,0.0,0.0,2.7,1895,1998/2014,01.10.1999,PR,SO,100.0,3,1005,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Gerbergasse 5",606,1766.0,784.0,0,0,2550.0,2.0,0.0,2.7,1904,1993]2010/12|18,27.05.2004,PP,SO,100.0,3,2550,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Goethestrasse 24",842,613.0,181.0,0,19,813.0,1.0,0.0,2.6,1874,2014,01.04.2004,PP,SO,100.0,3,813,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Grubenstrasse 6, 8",4152,5022.0,0.0,0,7447,12469.0,49.0,50.9,0.7,2023,2025,25.03.2020,PR,SO,100.0,3,12469,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Gutenbergstrasse 1, 9",1488,3597.0,810.0,0,4646,9053.0,15.0,0.3,3.4,1969,1986/2008|214,31.12.2004,PR,SO,100.0,3,9053,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Hardturmstrasse 101, 103, 105 / Förrlibuckstrasse 30",7567,18001.0,4936.0,0,698,23635.0,236.0,8.4,4.1,1992,2009/13,01.08.2016,PR,SO,100.0,3,23635,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Hardturmstrasse 131, 133, 135",6236,16751.0,1624.0,0,4960,23335.0,40.0,2.3,4.3,1982,2008/16,01.12.2002,PR,SO,100.0,3,23335,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Hardturmstrasse 161 / Förrlibuckstrasse 150",8225,28907.0,0.0,280,4441,33628.0,67.0,3.3,4.4,1975,1999|2019/22,01.12.2002,PR,SO,100.0,3,33628,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Hardturmstrasse 169, 171, 173, 175",5189,13257.0,350.0,96,4768,18471.0,38.0,0.0,5.3,1952,1997|2006|18|/21,01.12.2002,PR,SO,100.0,3,18471,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Hardturmstrasse 181, 183 /Förrlibuckstrasse 160, 190, 192",10557,23586.0,0.0,781,116,24483.0,200.0,0.1,3.0,2021,,01.12.2002,PR,SO,100.0,3,24483,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Hottingerstrasse 10, 12",1922,3788.0,0.0,0,210,3998.0,18.0,0.7,3.5,1914|40,1994|2020|24,01.04.2001,PR,SO,100.0,3,3998,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, In Gassen 16",331,0.0,0.0,487,618,1105.0,0.0,0.0,2.7,1812,1984/2007,01.04.2004,PP,SO,100.0,3,1105,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Konradstrasse 1",343,265.0,0.0,190,1162,1617.0,0.0,0.0,2.2,1879,1990,01.04.2004,PP,SO,100.0,3,1617,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Kurvenstrasse 17 / Beckenhofstrasse 26",657,1468.0,0.0,0,269,1737.0,35.0,2.5,3.3,1971,1999|2006|07|12,01.10.1999,PR,SO,100.0,3,1737,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Limmatquai 4",529,2477.0,183.0,189,80,2929.0,0.0,0.0,2.2,1837,2023,01.01.2000,PR,SO,100.0,3,2929,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Limmatquai 144 / Zähringerstrasse 51",429,1471.0,0.0,243,366,2080.0,0.0,0.0,3.1,1888,1994,01.04.2004,PP,SO,100.0,3,2080,0,FALSE
PSPN,PSP Swiss Property AG,2025-12-31,Investment property,Zurich,"Zürich, Limmatstrasse 291",973,2773.0,0.0,0,154,2927.0,7.0,0.0,4.5,1985,2016,01.04.2001,PR,SO,100.0,3,2927,0,FALSE
