date,total_return_index,price,total_assets,market_cap,folder,country_code,country,ticker,monthly_return,monthly_log_return
2000-03-31,54.40245,54.40245,,174.8134,SW_ALLN,SW,Switzerland,ALLN,,
2000-04-28,54.20292,54.20292,,174.1723,SW_ALLN,SW,Switzerland,ALLN,-0.0036676657025557224,-0.0036744080793131625
2000-05-31,51.12846,51.12846,,400.7101,SW_ALLN,SW,Switzerland,ALLN,-0.056721298409753595,-0.05839349219858814
2000-06-30,54.49517,54.49517,,427.0961,SW_ALLN,SW,Switzerland,ALLN,0.06584806192089498,0.06377078455408475
2000-07-31,52.87226,52.87226,,414.3769,SW_ALLN,SW,Switzerland,ALLN,-0.029780804427254837,-0.030233258195908722
2000-08-31,52.32165,52.32165,,410.0615,SW_ALLN,SW,Switzerland,ALLN,-0.010413967551226255,-0.01046857234383321
2000-09-29,48.99944,48.99944,,384.0243,SW_ALLN,SW,Switzerland,ALLN,-0.06349589510269649,-0.06560137387502836
2000-10-31,50.93645,50.93645,,399.2053,SW_ALLN,SW,Switzerland,ALLN,0.039531268112452,0.03876990781779659
2000-11-30,52.66561,52.66561,,412.7573,SW_ALLN,SW,Switzerland,ALLN,0.03394739916111145,0.03338390357475935
2000-12-29,51.25131,51.25131,,401.6729,SW_ALLN,SW,Switzerland,ALLN,-0.026854336254721112,-0.027221502198996262
2001-01-31,50.03469,50.03469,,392.1379,SW_ALLN,SW,Switzerland,ALLN,-0.023738320054648376,-0.024024613807260838
2001-02-28,49.36709,49.36709,,386.9057,SW_ALLN,SW,Switzerland,ALLN,-0.013342742805041885,-0.013432557004346242
2001-03-30,48.58729,48.58729,,380.7942,SW_ALLN,SW,Switzerland,ALLN,-0.01579594827242181,-0.01592203378614807
2001-04-30,50.54624,50.54624,,396.1471,SW_ALLN,SW,Switzerland,ALLN,0.04031815727940358,0.03952658683012329
2001-05-31,50.57806,50.57806,,396.3965,SW_ALLN,SW,Switzerland,ALLN,0.000629522591591547,0.0006293245253653017
2001-06-29,51.94139,51.94139,,407.0814,SW_ALLN,SW,Switzerland,ALLN,0.026954968221398756,0.02659808209938686
2001-07-31,51.38531,51.38531,,366.5719,SW_ALLN,SW,Switzerland,ALLN,-0.010705912953041907,-0.010763633576757354
