ticker,country,country_code,folder,year,debt_to_assets,dividend_per_share,dividend_yield,fa_total_assets,net_debt_ebitda,net_income,pe_ratio,profit_margin
ALLN,Switzerland,SW,SW_ALLN,2001,45.6484,,,907.4115,7.4951,,,
ALLN,Switzerland,SW,SW_ALLN,2002,50.6302,,,1202.7525,8.6844,,,
ALLN,Switzerland,SW,SW_ALLN,2003,42.4929,,,1060.4856,7.6393,96.5834,,
ALLN,Switzerland,SW,SW_ALLN,2004,48.019,2.6886,,1212.8465,10.0161,94.7791,,
ALLN,Switzerland,SW,SW_ALLN,2005,47.4792,2.9192,,1459.3168,10.1734,110.0377,,
ALLN,Switzerland,SW,SW_ALLN,2006,11.5191,2.9937,,1506.3472,2.4195,112.5269,,
ALLN,Switzerland,SW,SW_ALLN,2007,43.87,2.9023,,1612.4916,9.0883,117.3492,,
ALLN,Switzerland,SW,SW_ALLN,2008,45.5988,3.0074,,1918.1965,8.4615,383.8466,,
ALLN,Switzerland,SW,SW_ALLN,2009,48.7391,3.1592,,2075.223,10.238,374.5269,,
ALLN,Switzerland,SW,SW_ALLN,2010,42.0019,3.9094,,2578.7287,7.1792,461.4991,,
ALLN,Switzerland,SW,SW_ALLN,2011,45.0209,4.3788,,3041.7855,7.0287,653.4702,,
ALLN,Switzerland,SW,SW_ALLN,2012,39.8025,4.5637,,3254.6874,9.3408,690.1977,,
ALLN,Switzerland,SW,SW_ALLN,2013,40.4386,4.4695,,3260.2064,9.0569,870.4057,,
ALLN,Switzerland,SW,SW_ALLN,2014,42.605,4.5288,,3416.0445,10.0845,761.5762,,
ALLN,Switzerland,SW,SW_ALLN,2015,42.9787,5.3866,,3807.5107,10.0585,726.212,,
ALLN,Switzerland,SW,SW_ALLN,2016,40.0887,5.2758,,3721.8009,5.9372,757.3366,,
ALLN,Switzerland,SW,SW_ALLN,2017,43.8802,5.6287,,3724.6833,9.9835,554.2275,,
ALLN,Switzerland,SW,SW_ALLN,2018,44.9485,5.6288,,4095.5038,8.6109,472.992,,
ALLN,Switzerland,SW,SW_ALLN,2019,42.9927,3.147,,4370.6493,6.0532,478.1588,,
ALLN,Switzerland,SW,SW_ALLN,2020,43.6831,3.2701,,4609.4975,9.4373,482.4736,,
ALLN,Switzerland,SW,SW_ALLN,2021,46.9608,3.2383,,5593.2234,10.6904,511.5665,,
ALLN,Switzerland,SW,SW_ALLN,2022,45.8544,3.486,,5761.4226,12.8128,499.9926,,
